,Allwords,Unweighted Clustering Score,Weighted Clustering Score,Categorical Reasoning Score
0,"APPROVAL, BLESSING, CONSENT, SUPPORT, BAGEL, LIFESAVER, TIRE, WREATH, HOOK, SHANK, SLICE, WHIFF, LOAF, SLIP, SNEAK, WADE",3,6,3
1,"BOILING, FUMING, LIVID, STEAMING, POSITION, RANKING, STANDING, STATION, AIR, CONDITIONING, HEATING, VENTILATION, BAKING, LAUNDRY, ORIGAMI, POKER",4,10,3
2,"RUMBLING, SPECULATION, TALK, WHISPERS, CREEP, SLIP, STEAL, TIPTOE, BUDGET, ENTERPRISE, NATIONAL, THRIFTY, ENVIRON, JARGON, LATIN, PLEAD",1,2,1
3,"DISPLAY, MONITOR, SCREEN, TERMINAL, BOA, CORSET, FAN, GLOVES, BUFF, CREAM, FAWN, TAN, BASK, CHECK, FINISH, TIE",1,1,1
4,"PROJECTOR, REEL, SCREEN, SPEAKER, DECK, FLOOR, LEVEL, STORY, GLOBE, MIRROR, POST, SUN, EGG, MOON, STREAK, TOILET PAPER",2,3,2
5,"CAKE, COAT, PLASTER, SMEAR, BALLOON, BASKETBALL, FLOATIE, TIRE, BAR, BUBBLE, LINE, PIE, FIZZ, PUNCH, SLING, SOUR",1,2,1
6,"BLOW, DRAFT, GUST, PUFF, CRANK, REEL, TURN, WIND, BULL, CRAB, LION, RAM, CAT, GRINCH, POP, TURTLE",0,0,0
7,"BLUES, COUNTRY, FOLK, ROCK, BRAT, BUN, MUSTARD, SAUERKRAUT, CHAIR, MOUNTAIN, TREE, WARRIOR, COCONUT, SOULMATE, UPDO, WALLET",2,4,1
8,"ALARM, HOUR, SNOOZE, TIME SET, PERHAPS, SAY, SUPPOSE, WHAT IF, KISS, NERD, RUNT, WHOPPER, DO, DOPE, GRUMP, SLEEP",1,2,1
9,"DIALECT, LANGUAGE, SPEECH, TONGUE, FRENCH, KISS, MAKE OUT, NECK, BANDAGE, DRESSING, SCISSORS, TAPE, COTTAGE, CRAFTSMAN, PRAIRIE, RANCH",0,0,0
