,Allwords,Unweighted Clustering Score,Weighted Clustering Score
0,"MASS, SEA, SLEW, TON, BUCKLE, CAVE, COLLAPSE, GIVE, SHOUT, SNAP, WAVE, WHISTLE, BUTTON, DANCE, FLOP, LAUGH",2,4
1,"CROC, LOAFER, MOCCASIN, SLIPPER, BOA, HEADDRESS, PILLOW, SHUTTLECOCK, BASIC, JAVA, PYTHON, RUBY, COBRA, INSPIRATION, LIGHTNING, UNION",4,10
2,"MONITOR, SURVEY, TRACK, WATCH, BEACH, DESERT, HOURGLASS, PLAYGROUND, BAKE, BROIL, LIGHT, TIMER, BLUR, OASIS, PULP, SUEDE",2,7
3,"CANARY, FINK, RAT, SNITCH, JAM, PACK, SQUEEZE, STUFF, CAT, COW, MOUNTAIN, TRIANGLE, BUTTER, DRAGON, FIRE, HORSE",1,2
4,"COCOA, COFFEE, MATE, TEA, BORING, DULL, MUNDANE, VANILLA, ACT, BIT, ROUTINE, SET, DIRTY, DRY, TWIST, UP",4,10
5,"BANG, HAMMER, POUND, SLAM, CHRONICLE, HERALD, REGISTER, SUN, BANANA, CROISSANT, MOON, SICKLE, FEATHER, FLOWER, MUSHROOM, STAR",4,10
6,"PITCH, PLUG, PROMOTE, PUSH, COUPLE, ITEM, PAIR, THING, AD, ALL, DEUCE, LOVE, BREAD, DRAGON, JACK, PASSION",1,1
7,"CREST, PEAK, SUMMIT, VERTEX, CELL, CONTACT, DIGITS, NUMBER, BABY, MINI, POCKET, TOY, BAG, BOARD, RACKS, TILES",1,1
8,"BIG, HOT, IN, POPULAR, CHARACTER, GLYPH, ICON, SYMBOL, ASSESS, CHARGE, FINE, LEVY, HANDSOME, HIPPO, LEGEND, LIPID",4,10
9,"CALCULATOR, CALENDAR, CAMERA, CLOCK, CONE, IRIS, LENS, PUPIL, DADA, GRAMMY, MUM, POPPY, EXPOSE, PATE, RESUME, ROSE",2,3
10,"FLEECE, HOSE, ROB, STIFF, CANDLE, CRAYON, HONEYCOMB, SEAL, CABIN, ENGINE, NOSE, WING, BULB, EAR, HEAD, STALK",1,3
11,"ISSUE, MATTER, POINT, SUBJECT, CHAPTER, PERIOD, PHASE, STAGE, DASH, SHOCK, TANK, WHEEL, BLEW, CHORAL, READ, ROWS",4,10
12,"ALPHABET, AMAZON, APPLE, META, BAR, FINAL, ORAL, PHYSICAL, BEAUTY, GEM, MARVEL, PEACH, BABY, EYE, SWEET, WISDOM",4,10
13,"ORCA, PANDA, SKUNK, ZEBRA, CHAIN, SERIES, STRING, TRAIN, BASS, DOVE, DESERT, WIND, BEAR, SAND, SPEED, TOURIST",2,3
14,"ANGEL, CLOWN, PIRATE, WITCH, COMB, HIVE, HONEY, WAX, PERIOD, SPELL, STRETCH, WHILE, DEAR, HAIR, HOARSE, WAIL",4,10
15,"BELT, BRACELET, TIE, WATCH, BIT, JOKE, ROUTINE, SKETCH, APPEAL, CHARM, DRAW, PULL, CANINE, FREIGHT, OFTEN, STONE",4,10
16,"FLASH, JIFFY, SECOND, WINK, CHIEF, FIRST, MAIN, PRINCIPAL, BROADWAY, FIFTH, MADISON, PARK, AMATEUR, ELEVENTH, HAPPY, RUSH",4,10
