,Allwords,Unweighted Clustering Score,Weighted Clustering Score,Categorical Reasoning Score
0,"APPROVAL, BLESSING, CONSENT, SUPPORT, BAGEL, LIFESAVER, TIRE, WREATH, HOOK, SHANK, SLICE, WHIFF, LOAF, SLIP, SNEAK, WADE",3,6,2
1,"BOILING, FUMING, LIVID, STEAMING, POSITION, RANKING, STANDING, STATION, AIR, CONDITIONING, HEATING, VENTILATION, BAKING, LAUNDRY, ORIGAMI, POKER",1,1,0
2,"RUMBLING, SPECULATION, TALK, WHISPERS, CREEP, SLIP, STEAL, TIPTOE, BUDGET, ENTERPRISE, NATIONAL, THRIFTY, ENVIRON, JARGON, LATIN, PLEAD",2,5,1
3,"DISPLAY, MONITOR, SCREEN, TERMINAL, BOA, CORSET, FAN, GLOVES, BUFF, CREAM, FAWN, TAN, BASK, CHECK, FINISH, TIE",1,3,1
4,"PROJECTOR, REEL, SCREEN, SPEAKER, DECK, FLOOR, LEVEL, STORY, GLOBE, MIRROR, POST, SUN, EGG, MOON, STREAK, TOILET PAPER",0,0,0
5,"CAKE, COAT, PLASTER, SMEAR, BALLOON, BASKETBALL, FLOATIE, TIRE, BAR, BUBBLE, LINE, PIE, FIZZ, PUNCH, SLING, SOUR",0,0,0
6,"BLOW, DRAFT, GUST, PUFF, CRANK, REEL, TURN, WIND, BULL, CRAB, LION, RAM, CAT, GRINCH, POP, TURTLE",1,2,1
7,"BLUES, COUNTRY, FOLK, ROCK, BRAT, BUN, MUSTARD, SAUERKRAUT, CHAIR, MOUNTAIN, TREE, WARRIOR, COCONUT, SOULMATE, UPDO, WALLET",2,3,1
8,"ALARM, HOUR, SNOOZE, TIME SET, PERHAPS, SAY, SUPPOSE, WHAT IF, KISS, NERD, RUNT, WHOPPER, DO, DOPE, GRUMP, SLEEP",1,2,1
9,"DIALECT, LANGUAGE, SPEECH, TONGUE, FRENCH, KISS, MAKE OUT, NECK, BANDAGE, DRESSING, SCISSORS, TAPE, COTTAGE, CRAFTSMAN, PRAIRIE, RANCH",0,0,0
10,"AVERAGE, FAIR, OK, SO-SO, HI, MA, OR, PA, ANKLE, COWBOY, GO-GO, THIGH-HIGH, ELEVATOR, SUN, TIDE, YO-YO",0,0,0
11,"EXTENT, RANGE, REACH, SCOPE, COMPLEMENT, MATCH, MATE, PARTNER, BUD, NATTY, SIERRA, STELLA, CHECK, DIRT, PAL, PHONE",1,1,0
12,"BOO-BOO, FLUB, GAFFE, GOOF, DAISY, JASMINE, PETUNIA, POPPY, BUZZ, DANCE, POLLINATE, STING, BABE, LOU, MICKEY, YOGI",1,2,1
13,"SAID, SPOKE, TOLD, VOICED, DESIGNATION, HANDLE, MONIKER, SOBRIQUET, CLEAR, MARKED, PRONOUNCED, STRIKING, PORTER, POWER, ROUGH, WHEEL",2,3,2
14,"GOLD, LEAD, MERCURY, TIN, FULL, KING, QUEEN, TWIN, CAN, HEAD, JOHN, THRONE, BOWIE, BUTCHER, BUTTER, BUTTERFLY",1,1,1
15,"BARGE, CRAFT, SHIP, VESSEL, BEST, CHAMP, GOAT, LEGEND, ABOUT, CONCERNING, ON, TOWARD, HARE, I, MUSSEL, NAVAL",2,4,1
16,"DEVIL, MARS, ROSE, STRAWBERRY, FUNCTION, OPERATE, RUN, WORK, EDGE, OFFICE, TEAMS, WINDOWS, BLONDE, JOBS, MILK, VICE",1,3,1
17,"ABSENT, ELSEWHERE, GONE, MIA, ADVOCATE, CHAMPION, CHEERLEADER, EXPONENT, GLAM, GOTH, METAL, PUNK, HORROR, JOCK, VALUE, WAVE",3,6,3
18,"BACKFLIP, BELLYFLOP, CANNONBALL, JACKKNIFE, ECHO, PARROT, REPEAT, QUOTE, ANCHOR, BACKBONE, CORNERSTONE, PILLAR, HAM, PIRATE, SATELLITE, TALK",2,4,2
19,"JAM, PACK, RAM, STUFF, COOK, DISHWASHER, HOST, SERVER, MICROWAVE, RADIO, VISIBLE, X-RAY, BRIDLE, BYTE, COMEDIAN, DRILL",0,0,0
20,"CLOUD, COTTON BALL, DANDELION, SHEEP, GUINEA PIG, PARTICIPANT, SUBJECT, VOLUNTEER, DISAPPROVE, MIND, OBJECT, PROTEST, BULL, FOG, MATTER, SHOE",0,0,0
21,"GET BY, HACK IT, MAKE DO, MANAGE, BIRTHDAY, CONGRATULATIONS, GET WELL, THANK YOU, CAPISCE, GET IT, SEE, UNDERSTAND, CANDY, CONTACT, SHADOW, WITNESS",0,0,0
22,"BUDDY, CHAMP, SPORT, TIGER, AMENABLE, DOWN, GAME, WILLING, AARDVARK, EERIE, LLAMA, OOZE, BLUE, BRINY, DEEP, DRINK",2,3,2
23,"HIGH, KICK, RUSH, THRILL, BEAR, STAND, STOMACH, TAKE, BALONEY, BULL, BUNK, TRIPE, HEELS, MOUSE, REMOTE, TONGUE",0,0,0
24,"STRAIN, TAX, TEST, TRY, MIX, SAMPLE, SCRATCH, SPIN, DIRECT, IRREGULAR, POSSESSIVE, PRESENT, ECOLOGICAL, JEALOUS, LUSH, NAUSEOUS",0,0,0
25,"HYPE, MARKET, PITCH, SELL, CAST, CHUCK, FLING, HURL, FICTION, HUMOR, ROMANCE, TRAVEL, ANKLE, CREW, SWEAT, TUBE",2,7,1
26,"GRUFF, HOARSE, HUSKY, ROUGH, LITTLE, MIDDLE, POINTER, RING, AMBER, PORTER, SOUR, STOUT, BULLDOG, FRY, HORN, KISS",2,4,1
27,"NEAT, NIFTY, SUPER, SWELL, ELABORATE, EXPAND, EXPLAIN, SPECIFY, FACILITY, FLAIR, GIFT, KNACK, BLOCK, COMPLEX, COMPOUND, DEVELOPMENT",0,0,0
