,Allwords,Unweighted Clustering Score,Weighted Clustering Score
0,"MASS, SEA, SLEW, TON, BUCKLE, CAVE, COLLAPSE, GIVE, SHOUT, SNAP, WAVE, WHISTLE, BUTTON, DANCE, FLOP, LAUGH",0,0
1,"AGENT, ASSET, MOLE, SLEEPER, FOOT, LINE, METER, VERSE, COUCH, IMPLY, INTIMATE, SUGGEST, KELVIN, OKAY, POTASSIUM, THOUSAND",0,0
2,"FACTORY, MILL, PLANT, SHOP, WIND, WINE, WING, WINK, CORE, RIND, SEED, STEM, FEATHER, HEAVY, LIGHT, MIDDLE",2,4
3,"CARAVAN, FLEET, PARADE, TRAIN, OLIVE, FOREST, LIME, MINT, DEMOCRATIC, EROTIC, NOBLE, SAD, BOOK, CACTUS, HEDGEHOG, SKELETON",1,1
4,"BARK, GROWL, HOWL, WHINE, ARM, BRANCH, CHAPTER, WING, CRADLE, FONT, ROOT, SOURCE, CLUE, FROWN, MELLOW, PREEN",1,1
5,"BADGERS, BUGS, HOUNDS, NAGS, ANNIE, CABARET, CATS, COMPANY, COMPUTER, PIANO, SUPER, TESTS, FISH, HARD KNOCKS, ROCK, THOUGHT",2,3
6,"GRAZE, NIBBLE, PECK, SNACK, HUNT, TRACK, TRAIL, STALK, BEANS, PASTA, STOCK, VEGETABLES, BROAD, FORE, POD, TYPE",0,0
7,"CROC, LOAFER, MOCCASIN, SLIPPER, BOA, HEADDRESS, PILLOW, SHUTTLECOCK, BASIC, JAVA, PYTHON, RUBY, COBRA, INSPIRATION, LIGHTNING, UNION",1,1
8,"MONITOR, SURVEY, TRACK, WATCH, BEACH, DESERT, HOURGLASS, PLAYGROUND, BAKE, BROIL, LIGHT, TIMER, BLUR, OASIS, PULP, SUEDE",1,1
9,"BRUSH, GRAZE, KISS, SKIM, ODD, PERFECT, PRIME, WHOLE, OYSTER, PLUM, SOY, XO, CLAW, FRUIT, HUG, WITNESS",0,0
10,"EGG, GOAD, SPUR, URGE, JAWBREAKER, MEATBALL, MOZZARELLA, ORANGE, DAIRY, FROZEN, PRODUCE, SNACK, BANANAS, FIGURE, FISH, STEADY",1,1
11,"DROP, ECHO, FREEZE, LAG, MIME, PRISONER, REFEREE, SAILOR, GENIE, MONKEY, PARROT, PRINCESS, APOLLO, CANDLES, FANTASTIC, SAMURAI",0,0
12,"BUZZ, DRONE, HUM, PURR, BARGE, DORY, SCOW, SLOOP, AMERICA, HOOK, MORGAN, NEMO, AUTO, BUREAU, DEMO, PLUTO",1,1
13,"CANARY, FINK, RAT, SNITCH, JAM, PACK, SQUEEZE, STUFF, CAT, COW, MOUNTAIN, TRIANGLE, BUTTER, DRAGON, FIRE, HORSE",0,0
14,"BRIGHT, FLASHY, GARISH, LOUD, GAS, STINKER, TOOT, WIND, DIRTY, HONEY, PLATINUM, STRAWBERRY, HUG, OF, OXYGEN, ZERO",0,0
