Name,Annotated?,Categories Correct,Total Points,Game Number,Input
Maria,TRUE,0,0,6,"[['MASS', ' BUCKLE', ' GIVE', ' BUTTON'], [' LAUGH', ' DANCE', ' SHOUT', ' WHISTLE'], [' SNAP', ' COLLAPSE', ' CAVE', ' FLOP'], [' TON', ' WAVE', ' SEA', ' SLEW']]"
AP,TRUE,0,0,7,"[[' COUCH', ' VERSE', ' SLEEPER', ' ASSET'], [' THOUSAND', 'AGENT', ' OKAY', ' POTASSIUM'], [' SUGGEST', ' INTIMATE', ' LINE', ' IMPLY'], [' MOLE', ' METER', ' FOOT', ' KELVIN']]"
SP,TRUE,2,4,14,"[[' CORE', ' SEED', ' STEM', 'RIND'], [' PLANT', ' MILL', ' SHOP', ' FACTORY'], [' WIND', ' LIGHT', ' FEATHER', 'WING'], [' WINE', ' HEAVY', ' MIDDLE', ' WINK']]"
Maria,TRUE,1,1,15,"[[' HEDGEHOG', ' NOBLE', ' DEMOCRATIC', ' FOREST'], [' FLEET', ' PARADE', 'CARAVAN', ' TRAIN'], [' MINT', ' CACTUS', ' LIME', ' OLIVE'], [' SKELETON', ' BOOK', ' EROTIC', ' SAD']]"
Sam,TRUE,1,1,16,"[[' CRADLE', ' PREEN', ' FROWN', ' CHAPTER'], ['BARK', ' HOWL', ' GROWL', ' WHINE'], [' ROOT', ' SOURCE', ' BRANCH', ' WING'], [' ARM', ' FONT', ' CLUE', ' MELLOW']]"
HS,TRUE,2,3,17,"[[' COMPUTER', ' THOUGHT', 'COMPANY', ' TESTS], ['SUPER, 'PIANO', ' ROCK', ' FISH'], [' CATS', ' ANNIE', 'CABARET', ' HARD KNOCKS'], [' NAGS', 'HOUNDS', 'BUGS', 'BADGERS']]"
BS,TRUE,0,0,20,"[['HUNT', 'TYPE', 'PECK', 'GRAZE'], ['NIBBLE', 'VEGETABLES', 'PASTA', 'SNACK'], ['POD', 'BEANS', 'STALK', 'STOCK'], ['FORE', 'TRAIL', 'TRACK', 'BROAD']]"
Maria,TRUE,1,1,22,"[[' UNION', ' INSPIRATION', ' SHUTTLECOCK', ' LIGHTNING'], [' MOCCASIN', 'CROC', ' LOAFER', ' SLIPPER'], [' PYTHON', ' JAVA', ' COBRA', ' BASIC'], [' HEADDRESS', ' PILLOW', ' RUBY', ' BOA']]"
Sam,TRUE,1,1,23,"[[' TIMER', ' SUEDE', ' LIGHT', ' HOURGLASS'], [' PLAYGROUND', ' BEACH', ' OASIS', ' DESERT'], [' SURVEY', ' TRACK', 'MONITOR', ' WATCH'], [' BROIL', ' PULP', ' BLUR', ' BAKE']]"
Saf,TRUE,0,0,24,"[[' PERFECT', ' WITNESS', ' PRIME', ' ODD'], [' HUG', ' WHOLE', ' KISS', ' XO'], ['BRUSH', ' SKIM', ' CLAW', ' GRAZE'], [' FRUIT', ' PLUM', ' SOY', ' OYSTER']]"
SS,TRUE,1,1,25,"[[' STEADY', ' PRODUCE', 'DAIRY', ' ORANGE], ['FROZEN, 'FISH', ' FIGURE', ' MEATBALL'], [' JAWBREAKER', ' SNACK', 'MOZZARELLA', ' BANANAS'], [' SPUR', 'URGE', 'EGG', 'GOAD']]"
BS,TRUE,0,0,26,"[[' PARROT', 'DROP', ' SAILOR', ' REFEREE'], [' PRINCESS', ' FANTASTIC', ' APOLLO', ' MONKEY'], [' MIME', ' LAG', ' PRISONER', ' SAMURAI'], [' ECHO', ' FREEZE', ' GENIE', ' CANDLES']]"
Sam,TRUE,1,1,27,"[[' BARGE', ' PLUTO', ' DEMO'], ['BUZZ', ' DRONE', ' HUM', ' PURR'], [' SLOOP', ' DORY', ' NEMO', ' SCOW', ' HOOK'], [' MORGAN', ' BUREAU', ' AMERICA', ' AUTO']]"
HS,TRUE,0,0,28,"[[' SQUEEZE', ' BUTTER', 'JAM', ' PACK], ['CAT, 'RAT', ' COW', ' HORSE'], [' CANARY', ' MOUNTAIN', 'DRAGON', ' FIRE'], [' STUFF', 'FINK', 'SNITCH', 'TRIANGLE']]"
BS,TRUE,0,0,32,"[['STRAWBERRY', 'HONEY', 'OF', 'BRIGHT'], ['PLATINUM', 'ZERO', 'FLASHY', 'HUG'], ['WIND', 'LOUD', 'OXYGEN', 'GAS'], ['TOOT', 'STINKER', 'GARISH', 'DIRTY']]"
Sam,TRUE,1,1,35,"[[' RANGE', ' FLUFFY', ' ROVER', ' COOP'], [' FIRM', 'AGENCY', ' COMPANY', ' ENTERPRISE'], [' SPOT', ' INK', ' PEN', ' STY'], [' OLD', ' STABLE', ' LACK', ' REX']]"
AP,TRUE,4,10,36,"[[' SANDAL', ' HOLLY', ' DRIFT', ' DOG'], [' STRAP', ' BUCKLE', ' LOOP', ' HOLE'], [' HOLI', ' WHOLLY', ' HOLEY', ' HOLY'], [' LEAVE', ' HOLIDAY', 'BREAK', ' RECESS']]"
Maria,TRUE,4,10,37,"[[' PRUNE', ' WALNUT', ' BRAIN', ' PUG'], [' JACKED', ' BUILT', ' SWOLE', ' RIPPED'], [' FAN', ' NUT', ' LOVER', ' BUFF'], [' TRIM', 'CLIP', ' PARE', ' CUT']]"
SS,TRUE,0,0,39,"[['CROISSANT', 'FLOWER', 'MUSHROOM', 'FEATHER', 'BANANA'], ['SLAM', 'POUND', 'BANG'], ['SUN', 'MOON', 'SICKLE', 'HAMMER'], ['REGISTER', 'STAR', 'CHRONICLE', 'HERALD']"
Yousuf,TRUE,0,0,40,"[[' BREAD', ' ALL', ' PASSION', ' DRAGON'], [' PUSH', ' JACK', ' PLUG', 'PITCH'], [' DEUCE', ' LOVE', ' COUPLE', ' PAIR'], [' THING', ' ITEM', ' PROMOTE', ' AD']]"
Saf,TRUE,4,10,41,"[[' BAG', ' RACKS', ' TILES', ' BOARD'], [' CONTACT', ' DIGITS', ' CELL', ' NUMBER'], ['CREST', ' PEAK', ' SUMMIT', ' VERTEX'], [' MINI', ' BABY', ' POCKET', ' TOY']]"
AP,TRUE,4,10,42,"[[' ANSWER', ' WRONG', ' WRIST', ' TWO'], [' GUARD', ' MIND', ' TEND', ' WATCH'], ['ACHE', ' BURN', ' SMART', ' STING'], [' HOME', ' HEART', ' BRAIN', ' COURAGE']]"
AS,TRUE,4,10,45,"[[' GRAMMY', ' DADA', ' MUM', ' POPPY'], [' LENS', ' PUPIL', ' IRIS', ' CONE'], [' CALENDAR', 'CALCULATOR', ' CLOCK', ' CAMERA'], [' EXPOSE', ' RESUME', ' ROSE', ' PATE']]"
Yousuf,TRUE,1,2,46,"[[' BAR', ' TORCH', ' AT'], [' QUALITY', ' PRIME', ' FINE', ' STERLING'], [' POUND', 'COIN', ' DOLLAR', ' BUCK'], [' CREATE', ' PERCENT', ' DEVISE', ' INVENT', ' TIME']]"
AP,TRUE,2,4,50,"[[' DITCH', ' MAROON', ' FUZZY', ' STRAND'], [' SEASHELLS', ' DESERT', ' PEPPERS', ' WOODCHUCK'], [' SPRINKLES', ' NUTS', 'CHERRY', ' FUDGE'], [' CURSES', ' RATS', ' SHOOT', ' DARN']]"
Tariq,TRUE,2,5,51,"[[' LOVE', ' CHAIN', ' PEACOCK', ' SCARLET'], [' BLUE', ' YELLOW', ' WHITE', ' GREEN'], ['GRANDSTAND', ' STRUT', ' COVER', ' POSTURE'], [' PARAMOUNT', ' MAIN', ' SUPREME', ' PRIME']]"
AS,TRUE,2,3,52,"[[' RATHER', ' KING', ' REAL', ' PRETTY'], [' AWFUL', ' STERN', ' GLASS', ' GROSS'], [' ELEMENT', ' BASE', ' BOND', ' SOLUTION'], [' RANGE', 'MEAN', ' MODE', ' MEDIAN']]"
