Name,Annotated?,Categories Correct,Total Points,Game Number,Input
CM,TRUE,2,4,6,"[[' BUTTON', ' LAUGH', ' DANCE'], [' SEA', ' SLEW', 'MASS', ' TON'], [' WAVE', ' WHISTLE', ' SNAP', ' SHOUT'], [' BUCKLE', ' COLLAPSE', ' CAVE', ' GIVE', ' FLOP']]"
PS,TRUE,4,10,22,"[[' UNION', ' INSPIRATION', ' LIGHTNING', ' COBRA'], [' SLIPPER', ' MOCCASIN', ' LOAFER', 'CROC'], [' PILLOW', ' SHUTTLECOCK', ' BOA', ' HEADDRESS'], [' BASIC', ' JAVA', ' RUBY', ' PYTHON']]"
SR,TRUE,2,7,23,"[[' BEACH', ' DESERT', ' HOURGLASS'], [' BROIL', ' BAKE', ' TIMER', ' LIGHT'], [' TRACK', ' PLAYGROUND', ' SURVEY', 'MONITOR', ' WATCH'], [' BLUR', ' SUEDE', ' OASIS', ' PULP']]"
SR,TRUE,1,2,28,"[[' RAT', ' HORSE', ' COW', ' DRAGON'], [' JAM', ' PACK', ' SQUEEZE', ' STUFF'], [' MOUNTAIN', ' TRIANGLE', ' BUTTER', ' FIRE'], [' FINK', ' SNITCH', 'CANARY', ' CAT']]"
CM,TRUE,4,10,34,"[[' TWIST', ' UP', ' DIRTY', ' DRY'], [' ACT', ' ROUTINE', ' BIT', ' SET'], [' COFFEE', 'COCOA', ' MATE', ' TEA'], [' DULL', ' BORING', ' VANILLA', ' MUNDANE']]"
CM,TRUE,4,10,39,"[[' MUSHROOM', ' FLOWER', ' FEATHER', ' STAR'], ['BANG', ' POUND', ' SLAM', ' HAMMER'], [' CROISSANT', ' SICKLE', ' BANANA', ' MOON'], [' SUN', ' REGISTER', ' HERALD', ' CHRONICLE']]"
MM,TRUE,1,1,40,"[[' AD', ' LOVE', ' DRAGON', ' PASSION'], ['PITCH', ' PUSH', ' PLUG', ' PROMOTE'], [' DEUCE', ' ITEM', ' COUPLE', ' PAIR'], [' ALL', ' BREAD', ' THING', ' JACK']]"
PS,TRUE,1,1,41,"[[' BABY', ' BAG', ' TOY', ' MINI'], [' PEAK', 'CREST', ' SUMMIT', ' VERTEX'], [' TILES', ' CELL', ' RACKS', ' POCKET'], [' CONTACT', ' DIGITS', ' BOARD', ' NUMBER']]"
CM,TRUE,4,10,44,"[[' LIPID', ' HIPPO', ' LEGEND', ' HANDSOME'], [' HOT', ' IN', 'BIG', ' POPULAR'], [' FINE', ' ASSESS', ' LEVY', ' CHARGE'], [' CHARACTER', ' GLYPH', ' SYMBOL', ' ICON']]"
LS,TRUE,2,3,45,"[[' RESUME', 'GRAMMY', ' EXPOSE'], [' DADA', ' MUM', 'PATE', ' ROSE', ' POPPY], [' CLOCK', 'CAMERA', 'CALCULATOR', ' CALENDAR'], ['IRIS', ' PUPIL',LENS', 'CONE']]"
